FinancialYear,FinancialYearQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,SpecialtyGrouping,SpecialtyGroupingQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,PercentageOccupancy,PercentageOccupancyQF,AllStaffedBeds,AllStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,TotalOccupiedBeds,TotalOccupiedBedsQF
2014/15,,S08000015,,J4,,Haematology,,Medical Grouping,,12,,92.1,,4555,,11.493150684931507,,4195,
2014/15,,S08000015,,,z,All Acute Specialties,d,All Acute Specialties,d,978,,90,,356886,,879.6821917808219,,321084,
2014/15,,S08000015,,,z,All Specialties,d,All Specialties,d,1612,,80.4,,588285,,1295.8849315068494,,472998,
2014/15,,S08000015,,,z,Community Grouping,d,Community Grouping,,67,,58.2,,24586,,39.23013698630137,,14319,
2014/15,,S08000015,,,z,Dental Grouping,d,Dental Grouping,,0,,100,,2,,0.005479452054794521,,2,
2014/15,,S08000015,,,z,Emergency Grouping,d,Emergency Grouping,,15,,44,,5477,,6.602739726027397,,2410,
2014/15,,S08000015,,,z,Learning Disability Grouping,d,Learning Disability Grouping,,18,,67.1,,6672,,12.265753424657534,,4477,
2014/15,,S08000015,,,z,Medical Grouping,d,Medical Grouping,,717,,91.4,,261603,,655.2438356164383,,239164,
2014/15,,S08000015,,,z,Mental Health Grouping,d,Mental Health Grouping,,328,,62.5,,119781,,205.1917808219178,,74895,
2014/15,,S08000015,,,z,Other Grouping,d,Other Grouping,,117,,76.2,,42728,,89.1917808219178,,32555,
2014/15,,S08000015,,,z,Paediatrics Grouping,d,Paediatrics Grouping,,40,,65.4,,14715,,26.378082191780823,,9628,
2014/15,,S08000015,,,z,Surgery Grouping,d,Surgery Grouping,,261,,86,,95283,,224.43835616438355,,81920,
2014/15,,S08000015,,,z,Women and Newborn Grouping,d,Women and Newborn Grouping,,48,,78.2,,17438,,37.33698630136986,,13628,
2014/15,,S08000016,,A1,,General Medicine,,Medical Grouping,,118,,92.6,,43170,,109.51506849315068,,39973,
2014/15,,S08000016,,A2,,Cardiology,,Medical Grouping,,6,,100,,2181,,5.975342465753425,,2181,
2014/15,,S08000016,,A7,,Dermatology,,Medical Grouping,,0,,,z,0,,0,,0,
2014/15,,S08000016,,A8,,Endocrinology & Diabetes,,Medical Grouping,,0,,100,,35,,0.0958904109589041,,35,
2014/15,,S08000016,,A9,,Gastroenterology,,Medical Grouping,,1,,100,,205,,0.5616438356164384,,205,
2014/15,,S08000016,,AB,,Geriatric Medicine,,Medical Grouping,,32,,98.6,,11504,,31.07945205479452,,11344,
2014/15,,S08000016,,AD,,Medical Oncology,,Medical Grouping,,0,,,z,0,,0,,0,
2014/15,,S08000016,,AF,,Paediatrics,,Paediatrics Grouping,,17,,30.6,,6263,,5.257534246575342,,1919,
2014/15,,S08000016,,AH,,Neurology,,Medical Grouping,,0,,100,,114,,0.31232876712328766,,114,
2014/15,,S08000016,,AM,,Palliative Medicine,,Medical Grouping,,7,,91.5,,2673,,6.701369863013698,,2446,
2014/15,,S08000016,,AQ,,Respiratory Medicine,,Medical Grouping,,0,,100,,138,,0.3780821917808219,,138,
2014/15,,S08000016,,AR,,Rheumatology,,Medical Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2014/15,,S08000016,,C1,,General Surgery,,Surgery Grouping,,26,,91.8,,9429,,23.71232876712329,,8655,
2014/15,,S08000016,,C3,,Anaesthetics,,Surgery Grouping,,3,,6.7,,1082,,0.2,,73,
2014/15,,S08000016,,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,0,,100,,85,,0.2328767123287671,,85,
2014/15,,S08000016,,C7,,Ophthalmology,,Surgery Grouping,,2,,2,,602,,0.03287671232876712,,12,
2014/15,,S08000016,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,33,,78.4,,12051,,25.882191780821916,,9447,
2014/15,,S08000016,,CA,,Paediatric Surgery,,Paediatrics Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2014/15,,S08000016,,CB,,Urology,,Surgery Grouping,,3,,66.7,,1209,,2.208219178082192,,806,
2014/15,,S08000016,,D3,,Oral Surgery,,Dental Grouping,,0,,100,,4,,0.010958904109589041,,4,
2014/15,,S08000016,,D6,,Restorative Dentistry,,Dental Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2014/15,,S08000016,,F2,,Gynaecology,,Women and Newborn Grouping,,4,,77.6,,1320,,2.8054794520547945,,1024,
2014/15,,S08000016,,F3,,Obstetrics,,Women and Newborn Grouping,,22,,36.2,,7851,,7.7835616438356166,,2841,
2014/15,,S08000016,,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,34,,78.5,,12304,,26.46027397260274,,9658,
2014/15,,S08000016,,G2,,Child & Adolescent Psychiatry,,Mental Health Grouping,,0,,100,,72,,0.19726027397260273,,72,
2014/15,,S08000016,,G4,,Psychiatry of Old Age,,Mental Health Grouping,,36,,81.9,,12975,,29.126027397260273,,10631,
2014/15,,S08000016,,G5,,Learning Disability,,Learning Disability Grouping,,1,,99.6,,275,,0.7506849315068493,,274,
2014/15,,S08000016,,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,93,,88.8,,33856,,82.35342465753425,,30059,
2014/15,,S08000016,,J4,,Haematology,,Medical Grouping,,2,,100,,890,,2.4383561643835616,,890,
2014/15,,S08000016,,,z,All Acute Specialties,d,All Acute Specialties,d,234,,89.5,,85369,,209.32876712328766,,76405,
2014/15,,S08000016,,,z,All Specialties,d,All Specialties,d,439,,82.9,,160291,,364.0794520547945,,132889,
2014/15,,S08000016,,,z,Dental Grouping,d,Dental Grouping,,0,,100,,5,,0.0136986301369863,,5,
2014/15,,S08000016,,,z,Learning Disability Grouping,d,Learning Disability Grouping,,1,,99.6,,275,,0.7506849315068493,,274,
2014/15,,S08000016,,,z,Medical Grouping,d,Medical Grouping,,167,,94.1,,60911,,157.06027397260274,,57327,
2014/15,,S08000016,,,z,Mental Health Grouping,d,Mental Health Grouping,,69,,80.3,,25351,,55.78356164383562,,20361,
2014/15,,S08000016,,,z,Other Grouping,d,Other Grouping,,93,,88.8,,33856,,82.35342465753425,,30059,
2014/15,,S08000016,,,z,Paediatrics Grouping,d,Paediatrics Grouping,,17,,30.7,,6264,,5.260273972602739,,1920,
2014/15,,S08000016,,,z,Surgery Grouping,d,Surgery Grouping,,67,,78,,24458,,52.26849315068493,,19078,
2014/15,,S08000016,,,z,Women and Newborn Grouping,d,Women and Newborn Grouping,,25,,42.1,,9171,,10.58904109589041,,3865,
2014/15,,S08000017,,A1,,General Medicine,,Medical Grouping,,76,,84.7,,27904,,64.73150684931507,,23627,
2014/15,,S08000017,,A2,,Cardiology,,Medical Grouping,,16,,100,,5995,,16.424657534246574,,5995,
2014/15,,S08000017,,A7,,Dermatology,,Medical Grouping,,0,,100,,110,,0.3013698630136986,,110,
2014/15,,S08000017,,A8,,Endocrinology & Diabetes,,Medical Grouping,,0,,100,,50,,0.136986301369863,,50,
2014/15,,S08000017,,A9,,Gastroenterology,,Medical Grouping,,3,,100,,1057,,2.8958904109589043,,1057,
2014/15,,S08000017,,AB,,Geriatric Medicine,,Medical Grouping,,116,,74.7,,42435,,86.85479452054794,,31702,
2014/15,,S08000017,,AF,,Paediatrics,,Paediatrics Grouping,,30,,33.2,,11097,,10.101369863013698,,3687,
2014/15,,S08000017,,AG,,Renal Medicine,,Medical Grouping,,0,,100,,40,,0.1095890410958904,,40,
2014/15,,S08000017,,AH,,Neurology,,Medical Grouping,,0,,100,,8,,0.021917808219178082,,8,
2014/15,,S08000017,,AM,,Palliative Medicine,,Medical Grouping,,9,,92.4,,3157,,7.989041095890411,,2916,
2014/15,,S08000017,,AP,,Rehabilitation Medicine,,Medical Grouping,,15,,77,,5572,,11.747945205479452,,4288,
2014/15,,S08000017,,AQ,,Respiratory Medicine,,Medical Grouping,,20,,100,,7183,,19.67945205479452,,7183,
2014/15,,S08000017,,AR,,Rheumatology,,Medical Grouping,,0,,100,,9,,0.024657534246575342,,9,
2014/15,,S08000017,,C1,,General Surgery,,Surgery Grouping,,62,,67.6,,22794,,42.221917808219175,,15411,
2014/15,,S08000017,,C3,,Anaesthetics,,Surgery Grouping,,0,,100,,18,,0.049315068493150684,,18,
2014/15,,S08000017,,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,2,,99.9,,745,,2.0383561643835617,,744,
2014/15,,S08000017,,C7,,Ophthalmology,,Surgery Grouping,,4,,11.4,,1465,,0.4575342465753425,,167,
2014/15,,S08000017,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,33,,98.7,,11887,,32.12876712328767,,11727,
2014/15,,S08000017,,CB,,Urology,,Surgery Grouping,,5,,100,,1726,,4.728767123287671,,1726,
2014/15,,S08000017,,D1,,Community Dental Practice,,Dental Grouping,,0,,100,,5,,0.0136986301369863,,5,
2014/15,,S08000017,,D3,,Oral Surgery,,Dental Grouping,,0,,100,,10,,0.0273972602739726,,10,
2014/15,,S08000017,,E11,,GP Obstetrics,,Women and Newborn Grouping,,2,,1.9,,730,,0.038356164383561646,,14,
2014/15,,S08000017,,E12,,GP Other than Obstetrics,,Community Grouping,,128,,76.9,,46868,,98.68767123287671,,36021,
2014/15,,S08000017,,F2,,Gynaecology,,Women and Newborn Grouping,,4,,99.3,,1301,,3.5397260273972604,,1292,
2014/15,,S08000017,,F3,,Obstetrics,,Women and Newborn Grouping,,29,,31.1,,10451,,8.904109589041095,,3250,
2014/15,,S08000017,,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,51,,63.7,,18655,,32.54246575342466,,11878,
2014/15,,S08000017,,G4,,Psychiatry of Old Age,,Mental Health Grouping,,54,,65.9,,19580,,35.37260273972603,,12911,
2014/15,,S08000017,,G5,,Learning Disability,,Learning Disability Grouping,,18,,45.9,,6652,,8.356164383561644,,3050,
2014/15,,S08000017,,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,0,,100,,32,,0.08767123287671233,,32,
2014/15,,S08000017,,J4,,Haematology,,Medical Grouping,,3,,100,,1216,,3.3315068493150686,,1216,
2014/15,,S08000017,,XSU,,Unspecified,,Other Grouping,,11,,0,,4094,,0,,0,
2014/15,,S08000017,,,z,All Acute Specialties,d,All Acute Specialties,d,365,,81,,133371,,295.87397260273974,,107994,
2014/15,,S08000017,,,z,All Specialties,d,All Specialties,d,693,,71.2,,252846,,493.5452054794521,,180144,
2014/15,,S08000017,,,z,Community Grouping,d,Community Grouping,,128,,76.9,,46868,,98.68767123287671,,36021,
2014/15,,S08000017,,,z,Dental Grouping,d,Dental Grouping,,0,,100,,15,,0.0410958904109589,,15,
2014/15,,S08000017,,,z,Learning Disability Grouping,d,Learning Disability Grouping,,18,,45.9,,6652,,8.356164383561644,,3050,
2014/15,,S08000017,,,z,Medical Grouping,d,Medical Grouping,,260,,82.5,,94736,,214.24931506849316,,78201,
2014/15,,S08000017,,,z,Mental Health Grouping,d,Mental Health Grouping,,105,,64.8,,38235,,67.91506849315068,,24789,
2014/15,,S08000017,,,z,Other Grouping,d,Other Grouping,,11,,0.8,,4126,,0.08767123287671233,,32,
2014/15,,S08000017,,,z,Paediatrics Grouping,d,Paediatrics Grouping,,30,,33.2,,11097,,10.101369863013698,,3687,
2014/15,,S08000017,,,z,Surgery Grouping,d,Surgery Grouping,,106,,77.1,,38635,,81.62465753424658,,29793,
2014/15,,S08000017,,,z,Women and Newborn Grouping,d,Women and Newborn Grouping,,34,,36.5,,12482,,12.482191780821918,,4556,
2014/15,,S08000019,,A1,,General Medicine,,Medical Grouping,,145,,96.9,,52920,,140.44383561643835,,51262,
2014/15,,S08000019,,A2,,Cardiology,,Medical Grouping,,13,,57,,4612,,7.205479452054795,,2630,
2014/15,,S08000019,,A8,,Endocrinology & Diabetes,,Medical Grouping,,1,,100,,383,,1.0493150684931507,,383,
2014/15,,S08000019,,A9,,Gastroenterology,,Medical Grouping,,7,,82.8,,2734,,6.2,,2263,
2014/15,,S08000019,,AB,,Geriatric Medicine,,Medical Grouping,,279,,97.7,,102010,,273.027397260274,,99655,
2014/15,,S08000019,,AF,,Paediatrics,,Paediatrics Grouping,,45,,51.4,,16492,,23.246575342465754,,8485,
2014/15,,S08000019,,AH,,Neurology,,Medical Grouping,,2,,100,,631,,1.7287671232876711,,631,
2014/15,,S08000019,,AP,,Rehabilitation Medicine,,Medical Grouping,,5,,86.7,,1973,,4.684931506849315,,1710,
2014/15,,S08000019,,AQ,,Respiratory Medicine,,Medical Grouping,,9,,92.6,,3422,,8.67945205479452,,3168,
2014/15,,S08000019,,AR,,Rheumatology,,Medical Grouping,,0,,100,,15,,0.0410958904109589,,15,
2014/15,,S08000019,,C1,,General Surgery,,Surgery Grouping,,65,,94.9,,23543,,61.19178082191781,,22335,
2014/15,,S08000019,,C2,,Accident & Emergency,,Emergency Grouping,,3,,99.8,,942,,2.5753424657534247,,940,
2014/15,,S08000019,,C3,,Anaesthetics,,Surgery Grouping,,0,,100,,12,,0.03287671232876712,,12,
2014/15,,S08000019,,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,3,,99.4,,1161,,3.1616438356164385,,1154,
2014/15,,S08000019,,C6,,Neurosurgery,,Surgery Grouping,,0,,100,,4,,0.010958904109589041,,4,
2014/15,,S08000019,,C7,,Ophthalmology,,Surgery Grouping,,3,,88.6,,998,,2.421917808219178,,884,
2014/15,,S08000019,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,40,,94.2,,14544,,37.53972602739726,,13702,
2014/15,,S08000019,,CA,,Paediatric Surgery,,Paediatrics Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2014/15,,S08000019,,CB,,Urology,,Surgery Grouping,,11,,97.5,,3861,,10.30958904109589,,3763,
2014/15,,S08000019,,D3,,Oral Surgery,,Dental Grouping,,0,,100,,118,,0.3232876712328767,,118,
2014/15,,S08000019,,F1,,Obstetrics & Gynaecology,,Obstetrics Grouping,,0,,,z,0,,0,,0,
2014/15,,S08000019,,F2,,Gynaecology,,Women and Newborn Grouping,,11,,55.6,,3873,,5.895890410958904,,2152,
2014/15,,S08000019,,F3,,Obstetrics,,Women and Newborn Grouping,,28,,79.3,,10269,,22.323287671232876,,8148,
2014/15,,S08000019,,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,125,,65.2,,45646,,81.5013698630137,,29748,
2014/15,,S08000019,,G4,,Psychiatry of Old Age,,Mental Health Grouping,,94,,77.1,,34422,,72.69589041095891,,26534,
2014/15,,S08000019,,G5,,Learning Disability,,Learning Disability Grouping,,26,,94.3,,9490,,24.517808219178082,,8949,
2014/15,,S08000019,,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,133,,91.8,,48445,,121.84931506849315,,44475,
2014/15,,S08000019,,H1,,Clinical Radiology,,Medical Grouping,,0,,88.9,,9,,0.021917808219178082,,8,
2014/15,,S08000019,,J4,,Haematology,,Medical Grouping,,3,,95.4,,1137,,2.9726027397260273,,1085,
2014/15,,S08000019,,,z,All Acute Specialties,d,All Acute Specialties,d,586,,95.7,,213969,,560.7232876712329,,204664,
2014/15,,S08000019,,,z,All Specialties,d,All Specialties,d,1051,,87.1,,383667,,915.654794520548,,334214,
2014/15,,S08000019,,,z,Dental Grouping,d,Dental Grouping,,0,,100,,118,,0.3232876712328767,,118,
2014/15,,S08000019,,,z,Emergency Grouping,d,Emergency Grouping,,3,,99.8,,942,,2.5753424657534247,,940,
2014/15,,S08000019,,,z,Learning Disability Grouping,d,Learning Disability Grouping,,26,,94.3,,9490,,24.517808219178082,,8949,
2014/15,,S08000019,,,z,Medical Grouping,d,Medical Grouping,,465,,95.9,,169846,,446.05479452054794,,162810,
2014/15,,S08000019,,,z,Mental Health Grouping,d,Mental Health Grouping,,219,,70.3,,80068,,154.1972602739726,,56282,
2014/15,,S08000019,,,z,Obstetrics Grouping,d,Obstetrics Grouping,,0,,,z,0,,0,,0,
2014/15,,S08000019,,,z,Other Grouping,d,Other Grouping,,133,,91.8,,48445,,121.84931506849315,,44475,
2014/15,,S08000019,,,z,Paediatrics Grouping,d,Paediatrics Grouping,,45,,51.5,,16493,,23.24931506849315,,8486,
2014/15,,S08000019,,,z,Surgery Grouping,d,Surgery Grouping,,121,,94.9,,44123,,114.66849315068494,,41854,
2014/15,,S08000019,,,z,Women and Newborn Grouping,d,Women and Newborn Grouping,,39,,72.8,,14142,,28.21917808219178,,10300,
2014/15,,S08000020,,A1,,General Medicine,,Medical Grouping,,210,e,81.9,e,76666,e,172.03287671232877,e,62792,e
2014/15,,S08000020,,A2,,Cardiology,,Medical Grouping,,45,e,92.5,e,16483,e,41.75342465753425,e,15240,e
2014/15,,S08000020,,A6,,Infectious Diseases,,Medical Grouping,,23,e,89.3,e,8522,e,20.838356164383562,e,7606,e
2014/15,,S08000020,,A7,,Dermatology,,Medical Grouping,,4,e,62.3,e,1359,e,2.317808219178082,e,846,e
2014/15,,S08000020,,A8,,Endocrinology & Diabetes,,Medical Grouping,,2,e,27,e,745,e,0.5506849315068493,e,201,e
2014/15,,S08000020,,A9,,Gastroenterology,,Medical Grouping,,36,e,95.1,e,13113,e,34.156164383561645,e,12467,e
2014/15,,S08000020,,AB,,Geriatric Medicine,,Medical Grouping,,185,e,93.2,e,67623,e,172.6767123287671,e,63027,e
2014/15,,S08000020,,AD,,Medical Oncology,,Medical Grouping,,19,e,92.8,e,6862,e,17.44931506849315,e,6369,e
2014/15,,S08000020,,AF,,Paediatrics,,Paediatrics Grouping,,74,e,66,e,27084,e,48.961643835616435,e,17871,e
2014/15,,S08000020,,AG,,Renal Medicine,,Medical Grouping,,21,e,94.2,e,7622,e,19.67945205479452,e,7183,e
2014/15,,S08000020,,AH,,Neurology,,Medical Grouping,,10,e,91.1,e,3635,e,9.073972602739726,e,3312,e
2014/15,,S08000020,,AM,,Palliative Medicine,,Medical Grouping,,20,e,87.3,e,7428,e,17.76164383561644,e,6483,e
2014/15,,S08000020,,AP,,Rehabilitation Medicine,,Medical Grouping,,76,e,90,e,27854,e,68.64931506849315,e,25057,e
2014/15,,S08000020,,AQ,,Respiratory Medicine,,Medical Grouping,,35,e,90.8,e,12845,e,31.956164383561642,e,11664,e
2014/15,,S08000020,,AR,,Rheumatology,,Medical Grouping,,2,e,37.2,e,559,e,0.5698630136986301,e,208,e
2014/15,,S08000020,,C1,,General Surgery,,Surgery Grouping,,162,e,88.4,e,59013,e,142.95068493150686,e,52177,e
2014/15,,S08000020,,C2,,Accident & Emergency,,Emergency Grouping,,10,e,60.5,e,3503,e,5.810958904109589,e,2121,e
2014/15,,S08000020,,C3,,Anaesthetics,,Surgery Grouping,,10,e,84.4,e,3700,e,8.556164383561644,e,3123,e
2014/15,,S08000020,,C4,,Cardiothoracic Surgery,,Surgery Grouping,,33,e,80.2,e,12043,e,26.45205479452055,e,9655,e
2014/15,,S08000020,,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,15,e,64.3,e,5588,e,9.846575342465753,e,3594,e
2014/15,,S08000020,,C6,,Neurosurgery,,Surgery Grouping,,25,e,94,e,9102,e,23.43013698630137,e,8552,e
2014/15,,S08000020,,C7,,Ophthalmology,,Surgery Grouping,,7,e,67.2,e,2466,e,4.53972602739726,e,1657,e
2014/15,,S08000020,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,152,e,70.8,e,55446,e,107.58630136986301,e,39269,e
2014/15,,S08000020,,C9,,Plastic Surgery,,Surgery Grouping,,15,e,68.1,e,5652,e,10.545205479452054,e,3849,e
2014/15,,S08000020,,CA,,Paediatric Surgery,,Paediatrics Grouping,,11,e,43.2,e,4020,e,4.758904109589041,e,1737,e
2014/15,,S08000020,,CB,,Urology,,Surgery Grouping,,26,e,77.1,e,9639,e,20.364383561643837,e,7433,e
2014/15,,S08000020,,D1,,Community Dental Practice,,Dental Grouping,,0,e,,z,0,e,0,e,0,e
2014/15,,S08000020,,D3,,Oral Surgery,,Dental Grouping,,5,e,60.6,e,1842,e,3.0575342465753423,e,1116,e
2014/15,,S08000020,,D8,,Paediatric Dentistry,,Paediatrics Grouping,,0,e,100,e,1,e,0.0027397260273972603,e,1,e
2014/15,,S08000020,,E11,,GP Obstetrics,,Women and Newborn Grouping,,2,e,33.6,e,748,e,0.6876712328767123,e,251,e
2014/15,,S08000020,,E12,,GP Other than Obstetrics,,Community Grouping,,296,e,79.5,e,108006,e,235.2082191780822,e,85851,e
2014/15,,S08000020,,F2,,Gynaecology,,Women and Newborn Grouping,,24,e,69.8,e,8876,e,16.972602739726028,e,6195,e
2014/15,,S08000020,,F3,,Obstetrics,,Women and Newborn Grouping,,99,e,68.5,e,36185,e,67.94794520547946,e,24801,e
2014/15,,S08000020,,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,174,e,82.5,e,63495,e,143.48767123287672,e,52373,e
2014/15,,S08000020,,G2,,Child & Adolescent Psychiatry,,Mental Health Grouping,,1,e,100,e,284,e,0.7780821917808219,e,284,e
2014/15,,S08000020,,G3,,Forensic Psychiatry,,Mental Health Grouping,,43,e,79.9,e,15565,e,34.07397260273972,e,12437,e
2014/15,,S08000020,,G4,,Psychiatry of Old Age,,Mental Health Grouping,,146,e,77.8,e,53165,e,113.2931506849315,e,41352,e
2014/15,,S08000020,,G5,,Learning Disability,,Learning Disability Grouping,,19,e,79.5,e,7001,e,15.254794520547945,e,5568,e
2014/15,,S08000020,,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,30,e,95.3,e,10854,e,28.350684931506848,e,10348,e
2014/15,,S08000020,,H2,,Clinical Oncology,,Medical Grouping,,13,e,92.5,e,4706,e,11.92054794520548,e,4351,e
2014/15,,S08000020,,J4,,Haematology,,Medical Grouping,,24,e,93.8,e,8631,e,22.186301369863013,e,8098,e
2014/15,,S08000020,,XSU,,Unspecified,,Other Grouping,,5,e,0,e,1653,e,0,e,0,e
2014/15,,S08000020,,,z,All Acute Specialties,d,All Acute Specialties,d,1171,e,85.2,e,427302,e,997.8438356164384,e,364213,e
2014/15,,S08000020,,,z,All Specialties,d,All Specialties,d,2108,e,81.4,e,769584,e,1716.490410958904,e,626519,e
2014/15,,S08000020,,,z,Community Grouping,d,Community Grouping,,296,e,79.5,e,108006,e,235.2082191780822,e,85851,e
2014/15,,S08000020,,,z,Dental Grouping,d,Dental Grouping,,5,e,60.6,e,1842,e,3.0575342465753423,e,1116,e
2014/15,,S08000020,,,z,Emergency Grouping,d,Emergency Grouping,,10,e,60.5,e,3503,e,5.810958904109589,e,2121,e
2014/15,,S08000020,,,z,Learning Disability Grouping,d,Learning Disability Grouping,,19,e,79.5,e,7001,e,15.254794520547945,e,5568,e
2014/15,,S08000020,,,z,Medical Grouping,d,Medical Grouping,,725,e,88.8,e,264653,e,643.572602739726,e,234904,e
2014/15,,S08000020,,,z,Mental Health Grouping,d,Mental Health Grouping,,363,e,80.3,e,132509,e,291.63287671232877,e,106446,e
2014/15,,S08000020,,,z,Other Grouping,d,Other Grouping,,34,e,82.7,e,12507,e,28.350684931506848,e,10348,e
2014/15,,S08000020,,,z,Paediatrics Grouping,d,Paediatrics Grouping,,85,e,63,e,31105,e,53.723287671232875,e,19609,e
